2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files92 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files100 to /user/vihit/output
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files67 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files77 to /user/vihit/output
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files43 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files45 to /user/vihit/output
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files64 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files74 to /user/vihit/output
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files32 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files83 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files95 to /user/vihit/output
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files61 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files34 to /user/vihit/output
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files6 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files8 to /user/vihit/output
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files71 to /user/vihit/output
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files100 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files1 to /user/vihit/output
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files77 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files91 to /user/vihit/output
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files45 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files50 to /user/vihit/output
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files95 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files20 to /user/vihit/output
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files74 to /home/vihit/Desktop/IngestionITTests/archive
